,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
276,Mário Fernandes,27,Russia,82,82,PFC CSKA Moscow,18500000.0,1000.0,6'2,176.0,Europe
277,Víctor Ruiz,29,Spain,82,83,Villarreal CF,19500000.0,43000.0,6'1,172.0,Europe
278,T. Delaney,26,Denmark,82,83,Borussia Dortmund,21500000.0,61000.0,6'0,174.0,Europe
279,K. Casteels,26,Belgium,82,85,VfL Wolfsburg,19500000.0,46000.0,6'6,190.0,Europe
280,M. Götze,26,Germany,82,85,Borussia Dortmund,27000000.0,67000.0,5'9,165.0,Europe
281,S. Mustafi,26,Germany,82,84,Arsenal,22500000.0,115000.0,6'0,181.0,Europe
282,J. Pastore,29,Argentina,82,82,Roma,21500000.0,84000.0,6'2,172.0,South America
283,Pedro,30,Spain,82,82,Chelsea,21000000.0,140000.0,5'7,143.0,Europe
284,G. Bonaventura,28,Italy,82,82,Milan,22000000.0,115000.0,5'11,165.0,Europe
285,R. Bürki,27,Switzerland,82,85,Borussia Dortmund,18500000.0,50000.0,6'2,187.0,Europe
286,Taison,30,Brazil,82,82,Shakhtar Donetsk,21000000.0,1000.0,5'8,141.0,South America
287,S. Nzonzi,29,France,82,82,Roma,17000000.0,77000.0,6'5,165.0,Europe
288,Marlos,30,Ukraine,82,82,Shakhtar Donetsk,21000000.0,1000.0,5'9,152.0,Europe
289,A. Ramsey,27,United Kingdom,82,83,Arsenal,25000000.0,130000.0,6'0,168.0,Europe
290,K. Trippier,27,United Kingdom,82,82,Tottenham Hotspur,18500000.0,99000.0,5'10,159.0,Europe
291,A. Kolarov,32,Serbia,82,82,Roma,12500000.0,73000.0,6'2,183.0,Europe
292,G. Sigurðsson,28,Iceland,82,82,Everton,22500000.0,125000.0,6'1,181.0,Europe
293,S. Giovinco,31,Italy,82,82,Toronto FC,20000000.0,15000.0,5'4,134.0,Europe
294,M. Arnautović,29,Austria,82,82,West Ham United,22000000.0,120000.0,6'4,183.0,Europe
295,N. Gaitán,30,Argentina,82,82,Dalian YiFang FC,21000000.0,22000.0,5'8,146.0,South America
296,J. Henderson,28,United Kingdom,82,82,Liverpool,18000000.0,125000.0,6'0,176.0,Europe
297,M. Kruse,30,Germany,82,82,SV Werder Bremen,21500000.0,45000.0,5'11,168.0,Europe
298,M. Parolo,33,Italy,82,82,Lazio,9000000.0,59000.0,6'0,165.0,Europe
299,L. Fejsa,29,Serbia,82,82,SL Benfica,17000000.0,18000.0,6'0,176.0,Europe
300,A. Rami,32,France,82,82,Olympique de Marseille,12500000.0,57000.0,6'3,198.0,Europe
301,V. Ćorluka,32,Croatia,82,82,Lokomotiv Moscow,12500000.0,1000.0,6'4,185.0,Europe
302,G. Wijnaldum,27,Netherlands,82,82,Liverpool,23000000.0,130000.0,5'9,152.0,Europe
303,F. Fazio,31,Argentina,82,82,Roma,15000000.0,73000.0,6'5,187.0,South America
304,O. Giroud,31,France,82,82,Chelsea,20000000.0,140000.0,6'4,203.0,Europe
305,Marcano,31,Spain,82,82,Roma,15000000.0,73000.0,6'2,170.0,Europe
306,A. Guardado,31,Mexico,82,82,Real Betis,19000000.0,35000.0,5'7,148.0,North America
307,E. Garay,31,Argentina,82,82,Valencia CF,15000000.0,44000.0,6'2,198.0,South America
308,Jardel,32,Brazil,82,82,SL Benfica,12500000.0,17000.0,6'4,192.0,South America
309,S. Sirigu,31,Italy,82,82,Torino,13500000.0,45000.0,6'4,176.0,Europe
310,E. Viviano,32,Italy,82,82,Sporting CP,12500000.0,15000.0,6'5,198.0,Europe
311,L. Koscielny,32,France,82,82,Arsenal,12500000.0,115000.0,6'1,165.0,Europe
312,A. Consigli,31,Italy,82,82,Sassuolo,13500000.0,52000.0,6'2,181.0,Europe
313,L. Biglia,32,Argentina,82,82,Milan,12500000.0,98000.0,5'10,139.0,South America
314,Dani Alves,35,Brazil,82,82,Paris Saint-Germain,4800000.0,62000.0,5'8,150.0,South America
315,David Villa,36,Spain,82,82,New York City FC,8000000.0,12000.0,5'9,152.0,Europe
316,Aduriz,37,Spain,82,82,Athletic Club de Bilbao,8000000.0,29000.0,6'0,172.0,Europe
317,P. Čech,36,Czech Republic,82,82,Arsenal,3000000.0,60000.0,6'5,198.0,Europe
318,Casillas,37,Spain,82,82,FC Porto,1500000.0,10000.0,6'1,185.0,Europe
319,M. Rashford,20,United Kingdom,81,89,Manchester United,27000000.0,110000.0,6'1,154.0,Europe
320,Laure Santeiro,30,Brazil,81,81,Fluminense,17000000.0,40000.0,5'7,139.0,South America
321,L. Bailey,20,Jamaica,81,89,Bayer 04 Leverkusen,26500000.0,54000.0,5'10,174.0,North America
322,M. Akanji,22,Switzerland,81,87,Borussia Dortmund,21000000.0,49000.0,6'2,187.0,Europe
323,F. de Jong,21,Netherlands,81,89,Ajax,26000000.0,19000.0,5'11,154.0,Europe
324,Nélson Semedo,24,Portugal,81,86,FC Barcelona,20000000.0,125000.0,5'10,148.0,Europe
325,Pablo Fornals,22,Spain,81,86,Villarreal CF,24000000.0,36000.0,5'10,148.0,Europe
326,Fabián,22,Spain,81,89,Napoli,26000000.0,64000.0,6'2,154.0,Europe
327,E. Bailly,24,Ivory Coast,81,87,Manchester United,21000000.0,105000.0,6'1,170.0,Africa
328,Dani Ceballos,21,Spain,81,88,Real Madrid,25000000.0,120000.0,5'10,154.0,Europe
329,H. Lozano,22,Mexico,81,86,PSV,24000000.0,22000.0,5'9,154.0,North America
330,Morales,30,Spain,81,81,Levante UD,17000000.0,33000.0,5'11,154.0,Europe
331,J. Seri,26,Ivory Coast,81,82,Fulham,20500000.0,73000.0,5'7,161.0,Africa
332,M. Politano,24,Italy,81,84,Inter,22500000.0,57000.0,5'7,148.0,Europe
333,M. Brozović,25,Croatia,81,84,Inter,18500000.0,64000.0,5'11,150.0,Europe
334,Williams,24,Spain,81,87,Athletic Club de Bilbao,24500000.0,31000.0,6'1,174.0,Europe
335,A. Correa,23,Argentina,81,87,Atlético Madrid,24500000.0,54000.0,5'7,150.0,South America
336,A. Christensen,22,Denmark,81,88,Chelsea,21500000.0,91000.0,6'2,179.0,Europe
337,João Mário,25,Portugal,81,84,Inter,22500000.0,71000.0,5'10,161.0,Europe
338,T. Strakosha,23,Albania,81,86,Lazio,17000000.0,36000.0,6'4,172.0,Europe
339,E. Hysaj,24,Albania,81,86,Napoli,20000000.0,58000.0,6'0,154.0,Europe
340,P. Zieliński,24,Poland,81,88,Napoli,24500000.0,64000.0,5'11,165.0,Europe
341,Ricardo Pereira,24,Portugal,81,85,Leicester City,19000000.0,64000.0,5'9,154.0,Europe
342,Grimaldo,22,Spain,81,87,SL Benfica,20500000.0,14000.0,5'7,152.0,Europe
343,R. Guerreiro,24,Portugal,81,86,Borussia Dortmund,24000000.0,54000.0,5'7,157.0,Europe
344,A. Doucouré,25,France,81,85,Watford,19500000.0,60000.0,6'0,168.0,Europe
345,J. Martínez,25,Venezuela,81,84,Atlanta United,22500000.0,14000.0,5'7,152.0,South America
346,C. Bacca,31,Colombia,81,81,Villarreal CF,16000000.0,45000.0,5'11,170.0,South America
347,A. Plea,25,France,81,83,Borussia Mönchengladbach,22000000.0,40000.0,5'11,174.0,Europe
348,B. Davies,25,United Kingdom,81,84,Tottenham Hotspur,18500000.0,87000.0,6'0,168.0,Europe
349,M. Nastasić,25,Serbia,81,84,FC Schalke 04,18500000.0,36000.0,6'2,183.0,Europe
350,A. Milik,24,Poland,81,88,Napoli,25500000.0,71000.0,6'1,172.0,Europe
351,M. Sabitzer,24,Austria,81,84,RB Leipzig,22500000.0,54000.0,5'10,170.0,Europe
352,B. Mendy,23,France,81,86,Manchester City,20000000.0,105000.0,6'1,187.0,Europe
353,C. Kramer,27,Germany,81,82,Borussia Mönchengladbach,17000000.0,35000.0,6'3,168.0,Europe
354,S. Vrsaljko,26,Croatia,81,84,Inter,18000000.0,57000.0,5'11,168.0,Europe
355,T. Hazard,25,Belgium,81,83,Borussia Mönchengladbach,21500000.0,40000.0,5'9,152.0,Europe
356,K. Bellarabi,28,Germany,81,81,Bayer 04 Leverkusen,18000000.0,76000.0,6'0,179.0,Europe
357,S. Zaza,27,Italy,81,82,Torino,21000000.0,48000.0,6'1,185.0,Europe
358,F. Ghoulam,27,Algeria,81,82,Napoli,16500000.0,68000.0,6'0,176.0,Africa
359,B. Lecomte,27,France,81,84,Montpellier HSC,15000000.0,27000.0,6'1,172.0,Europe
360,J. Iličić,30,Slovenia,81,81,Atalanta,17000000.0,41000.0,6'3,174.0,Europe
361,K. Volland,25,Germany,81,83,Bayer 04 Leverkusen,22000000.0,76000.0,5'10,187.0,Europe
362,Paco Alcácer,24,Spain,81,85,Borussia Dortmund,23500000.0,59000.0,5'9,159.0,Europe
363,Vitolo,28,Spain,81,81,Atlético Madrid,18000000.0,65000.0,6'1,174.0,Europe
364,G. Xhaka,25,Switzerland,81,84,Arsenal,22000000.0,115000.0,6'1,181.0,Europe
365,D. Tadić,29,Serbia,81,81,Ajax,17500000.0,26000.0,5'11,168.0,Europe
366,C. Aránguiz,29,Chile,81,81,Bayer 04 Leverkusen,17000000.0,76000.0,5'7,154.0,South America
367,S. Verdi,25,Italy,81,81,Napoli,19500000.0,77000.0,5'7,134.0,Europe
368,D. Lovren,28,Croatia,81,82,Liverpool,16000000.0,115000.0,6'2,185.0,Europe
369,G. Medel,30,Chile,81,81,Beşiktaş JK,13000000.0,56000.0,5'7,143.0,South America
370,X. Shaqiri,26,Switzerland,81,81,Liverpool,19000000.0,130000.0,5'7,159.0,Europe
371,J. Corona,25,Mexico,81,83,FC Porto,21500000.0,18000.0,5'8,137.0,North America
372,A. Areola,25,France,81,85,Paris Saint-Germain,16500000.0,61000.0,6'5,207.0,Europe
373,K. Vogt,26,Germany,81,82,TSG 1899 Hoffenheim,17500000.0,42000.0,6'4,187.0,Europe
374,Ander Herrera,28,Spain,81,81,Manchester United,17500000.0,140000.0,6'0,154.0,Europe
375,E. Salvio,27,Argentina,81,81,SL Benfica,18500000.0,19000.0,5'8,170.0,South America
376,S. El Shaarawy,25,Italy,81,82,Roma,21000000.0,77000.0,5'10,159.0,Europe
377,C. Smalling,28,United Kingdom,81,82,Manchester United,16000000.0,130000.0,6'4,179.0,Europe
378,Hulk,31,Brazil,81,81,Shanghai SIPG FC,15500000.0,25000.0,5'11,187.0,South America
379,S. Kagawa,29,Japan,81,81,Borussia Dortmund,17500000.0,65000.0,5'9,150.0,Asia
380,M. Lanzini,25,Argentina,81,85,West Ham United,23000000.0,90000.0,5'6,130.0,South America
381,F. Smolov,28,Russia,81,81,Lokomotiv Moscow,18500000.0,1000.0,6'2,176.0,Europe
382,L. Stindl,29,Germany,81,81,Borussia Mönchengladbach,18000000.0,43000.0,5'11,176.0,Europe
383,O. Toprak,28,Turkey,81,82,Borussia Dortmund,16000000.0,59000.0,6'1,183.0,Asia
384,D. Perotti,29,Argentina,81,81,Roma,17500000.0,84000.0,5'10,154.0,South America
385,F. Muslera,32,Uruguay,81,81,Galatasaray SK,10000000.0,52000.0,6'3,163.0,South America
386,B. Höwedes,30,Germany,81,81,Lokomotiv Moscow,13000000.0,1000.0,6'2,170.0,Europe
387,S. Kjær,29,Denmark,81,81,Sevilla FC,14000000.0,23000.0,6'2,185.0,Europe
388,S. Bender,29,Germany,81,81,Bayer 04 Leverkusen,14000000.0,69000.0,6'1,176.0,Europe
389,M. Valbuena,33,France,81,81,Fenerbahçe SK,11000000.0,86000.0,5'6,139.0,Europe
390,Pedro León,31,Spain,81,81,SD Eibar,15500000.0,32000.0,6'0,161.0,Europe
391,K. Boateng,31,Ghana,81,81,Sassuolo,15000000.0,65000.0,6'1,190.0,Africa
392,L. Piszczek,33,Poland,81,81,Borussia Dortmund,7000000.0,57000.0,6'0,174.0,Europe
393,A. Candreva,31,Italy,81,81,Inter,15500000.0,74000.0,5'11,154.0,Europe
394,D. Wass,29,Denmark,81,81,Valencia CF,17000000.0,46000.0,5'11,163.0,Europe
395,E. Lamela,26,Argentina,81,82,Tottenham Hotspur,21000000.0,105000.0,6'0,176.0,South America
396,D. Rose,27,United Kingdom,81,81,Tottenham Hotspur,14500000.0,92000.0,5'9,168.0,Europe
397,C. Vela,29,Mexico,81,81,Los Angeles FC,17500000.0,15000.0,5'10,170.0,North America
398,Renato Augusto,30,Brazil,81,81,Beijing Sinobo Guoan FC,16500000.0,28000.0,6'1,190.0,South America
399,A. Valencia,32,Ecuador,81,81,Manchester United,10000000.0,120000.0,5'11,183.0,South America
400,L. Fabiański,33,Poland,81,81,West Ham United,9000000.0,70000.0,6'3,183.0,Europe
401,João Moutinho,31,Portugal,81,81,Wolverhampton Wanderers,15000000.0,85000.0,5'7,134.0,Europe
402,Borja Valero,33,Spain,81,81,Inter,11000000.0,74000.0,5'9,161.0,Europe
403,F. Quagliarella,35,Italy,81,81,Sampdoria,8000000.0,39000.0,5'11,174.0,Europe
404,B. Gomis,32,France,81,81,Al Hilal,14000000.0,56000.0,6'0,170.0,Europe
405,Manuel Fernandes,32,Portugal,81,81,Lokomotiv Moscow,14000000.0,1000.0,5'9,165.0,Europe
406,H. Herrera,28,Mexico,81,81,FC Porto,17500000.0,20000.0,6'0,159.0,North America
407,Raffael,33,Brazil,81,81,Borussia Mönchengladbach,11000000.0,41000.0,5'9,152.0,South America
408,Nani,31,Portugal,81,81,Sporting CP,15500000.0,19000.0,5'10,150.0,Europe
409,J. Milner,32,United Kingdom,81,81,Liverpool,13500000.0,120000.0,5'9,154.0,Europe
410,J. Mathieu,34,France,81,81,Sporting CP,5500000.0,18000.0,6'2,185.0,Europe
411,Joaquín,36,Spain,81,81,Real Betis,6000000.0,24000.0,5'10,165.0,Europe
412,M. Gómez,21,Uruguay,80,85,RC Celta,20500000.0,25000.0,6'1,185.0,South America
413,K. Havertz,19,Germany,80,89,Bayer 04 Leverkusen,22000000.0,32000.0,6'2,183.0,Europe
414,T. Ndombele,21,France,80,89,Olympique Lyonnais,22500000.0,51000.0,5'11,168.0,Europe
415,H. Aouar,20,France,80,90,Olympique Lyonnais,23500000.0,51000.0,5'9,154.0,Europe
416,Carlos Soler,21,Spain,80,87,Valencia CF,21000000.0,31000.0,5'11,168.0,Europe
417,Odriozola,22,Spain,80,88,Real Madrid,18500000.0,115000.0,5'9,146.0,Europe
418,M. Almirón,24,Paraguay,80,84,Atlanta United,19500000.0,11000.0,5'9,139.0,South America
419,Welington Dano,30,Brazil,80,80,Cruzeiro,10500000.0,34000.0,5'10,152.0,South America
420,Everton Andrão,34,Brazil,80,80,Fluminense,4500000.0,34000.0,5'10,165.0,South America
421,Oyarzabal,21,Spain,80,87,Real Sociedad,21000000.0,29000.0,5'11,172.0,Europe
422,F. Balbuena,26,Paraguay,80,83,West Ham United,15500000.0,80000.0,6'2,187.0,South America
423,M. Marega,27,Mali,80,80,FC Porto,16000000.0,19000.0,6'1,183.0,Africa
424,B. Pavard,22,France,80,86,VfB Stuttgart,17500000.0,33000.0,6'1,168.0,Europe
425,W. Ndidi,21,Nigeria,80,85,Leicester City,17000000.0,50000.0,6'0,163.0,Africa
426,A. Onana,22,Cameroon,80,85,Ajax,14500000.0,14000.0,6'2,205.0,Africa
427,G. Lo Celso,22,Argentina,80,86,Real Betis,20000000.0,72000.0,5'9,154.0,South America
428,M. Acuña,26,Argentina,80,80,Sporting CP,12500000.0,16000.0,5'8,152.0,South America
429,Rúben Neves,21,Portugal,80,87,Wolverhampton Wanderers,20500000.0,59000.0,5'11,176.0,Europe
430,Mariano,24,Dominican Republic,80,85,Real Madrid,20000000.0,140000.0,5'11,168.0,North America
431,Raúl,28,Brazil,80,80,SC Braga,12000000.0,19000.0,6'2,179.0,South America
432,M. Caldara,24,Italy,80,86,Milan,17500000.0,73000.0,6'2,176.0,Europe
433,M. Vecino,26,Uruguay,80,81,Inter,14500000.0,63000.0,6'2,179.0,South America
434,T. Bakayoko,23,France,80,85,Milan,17000000.0,85000.0,6'2,187.0,Europe
435,M. Dahoud,22,Germany,80,86,Borussia Dortmund,20000000.0,50000.0,5'10,150.0,Europe
436,Rafa,25,Portugal,80,83,SL Benfica,18500000.0,17000.0,5'8,146.0,Europe
437,K. Baldé,23,Senegal,80,85,Inter,20000000.0,65000.0,5'11,176.0,Africa
438,G. Rulli,26,Argentina,80,85,Real Sociedad,14000000.0,26000.0,6'2,185.0,South America
439,F. Armani,31,Argentina,80,80,River Plate,9000000.0,22000.0,6'2,194.0,South America
440,Rony Lopes,22,Portugal,80,85,AS Monaco,20000000.0,65000.0,5'9,150.0,Europe
441,Santi Mina,22,Spain,80,85,Valencia CF,20000000.0,40000.0,5'11,170.0,Europe
442,K. Demirbay,24,Germany,80,84,TSG 1899 Hoffenheim,19500000.0,37000.0,6'0,159.0,Europe
443,Gayà,23,Spain,80,85,Valencia CF,16500000.0,33000.0,5'8,146.0,Europe
444,André Gomes,24,Portugal,80,85,Everton,19500000.0,130000.0,6'2,185.0,Europe
445,N. Tagliafico,25,Argentina,80,82,Ajax,15000000.0,20000.0,5'7,143.0,South America
446,M. Sanson,23,France,80,85,Olympique de Marseille,19500000.0,47000.0,5'11,161.0,Europe
447,Pacheco,26,Spain,80,83,Deportivo Alavés,13000000.0,23000.0,6'1,179.0,Europe
448,E. Can,24,Germany,80,85,Juventus,19500000.0,91000.0,6'0,181.0,Europe
449,H. Çalhanoğlu,24,Turkey,80,84,Milan,19500000.0,89000.0,5'10,168.0,Asia
450,M. Ginter,24,Germany,80,82,Borussia Mönchengladbach,15500000.0,28000.0,6'2,183.0,Europe
451,M. Keane,25,United Kingdom,80,83,Everton,15500000.0,88000.0,6'3,181.0,Europe
452,L. Paredes,24,Argentina,80,85,,0.0,0.0,5'11,165.0,South America
453,T. Stepanenko,28,Ukraine,80,80,Shakhtar Donetsk,12000000.0,1000.0,5'11,168.0,Europe
454,L. Shaw,22,United Kingdom,80,85,Manchester United,16500000.0,96000.0,5'11,165.0,Europe
455,Z. Feddal,28,Morocco,80,80,Real Betis,12000000.0,29000.0,6'3,183.0,Africa
456,S. Haller,24,France,80,83,Eintracht Frankfurt,19000000.0,41000.0,6'3,201.0,Europe
457,Bernard,25,Brazil,80,81,Everton,17500000.0,97000.0,5'5,132.0,South America
458,T. Inui,30,Japan,80,80,Real Betis,14000000.0,30000.0,5'7,139.0,Asia
459,Portu,26,Spain,80,81,Girona FC,17500000.0,37000.0,5'10,154.0,Europe
460,M. Batshuayi,24,Belgium,80,84,Valencia CF,19500000.0,105000.0,6'1,172.0,Europe
461,E. Zahavi,30,Israel,80,80,Guangzhou R&F; FC,14500000.0,24000.0,6'0,157.0,Asia
462,T. Vaclík,29,Czech Republic,80,81,Sevilla FC,11500000.0,17000.0,6'2,187.0,Europe
463,N. Pope,26,United Kingdom,80,83,Burnley,13000000.0,48000.0,6'7,168.0,Europe
464,Héctor Bellerín,23,Spain,80,85,Arsenal,16500000.0,85000.0,5'10,163.0,Europe
465,P. Kadeřábek,26,Czech Republic,80,81,TSG 1899 Hoffenheim,14000000.0,39000.0,6'0,179.0,Europe
466,J. Butland,25,United Kingdom,80,85,Stoke City,14000000.0,39000.0,6'5,209.0,Europe
467,J. Vestergaard,25,Denmark,80,81,Southampton,14500000.0,51000.0,6'6,216.0,Europe
468,J. Tarkowski,25,United Kingdom,80,83,Burnley,15500000.0,56000.0,6'4,179.0,Europe
469,Deulofeu,24,Spain,80,82,Watford,18500000.0,56000.0,5'10,161.0,Europe
470,E. Dier,24,United Kingdom,80,84,Tottenham Hotspur,16500000.0,73000.0,6'2,198.0,Europe
471,J. Murillo,26,Colombia,80,84,Valencia CF,16000000.0,38000.0,6'0,172.0,South America
472,M. Badelj,29,Croatia,80,80,Lazio,11500000.0,53000.0,6'1,176.0,Europe
473,Ismaily,28,Brazil,80,80,Shakhtar Donetsk,11500000.0,1000.0,5'10,181.0,South America
474,N. Schulz,25,Germany,80,81,TSG 1899 Hoffenheim,14500000.0,37000.0,5'11,172.0,Europe
475,L. Digne,24,France,80,84,Everton,16000000.0,79000.0,5'10,163.0,Europe
476,M. Uth,26,Germany,80,81,FC Schalke 04,17500000.0,42000.0,6'1,159.0,Europe
477,Cristian Tello,26,Spain,80,80,Real Betis,16000000.0,30000.0,5'10,143.0,Europe
478,D. Vida,29,Croatia,80,80,Beşiktaş JK,11500000.0,55000.0,6'0,168.0,Europe
479,L. Muriel,27,Colombia,80,81,Sevilla FC,17500000.0,24000.0,5'10,174.0,South America
480,V. Aboubakar,26,Cameroon,80,82,FC Porto,18000000.0,19000.0,6'0,181.0,Africa
481,A. Oxlade-Chamberlain,24,United Kingdom,80,85,Liverpool,19500000.0,94000.0,5'9,154.0,Europe
482,S. Aurier,25,Ivory Coast,80,83,Tottenham Hotspur,15500000.0,82000.0,5'9,168.0,Africa
483,J. Matip,26,Cameroon,80,82,Liverpool,15000000.0,99000.0,6'4,198.0,Africa
484,Y. Rakitskyi,28,Ukraine,80,80,Shakhtar Donetsk,12000000.0,1000.0,6'1,183.0,Europe
485,Sergi Enrich,28,Spain,80,80,SD Eibar,15500000.0,34000.0,5'11,170.0,Europe
486,A. Yarmolenko,28,Ukraine,80,80,West Ham United,15000000.0,92000.0,6'3,183.0,Europe
487,Hugo Mallo,27,Spain,80,81,RC Celta,13500000.0,27000.0,5'9,159.0,Europe
488,André Almeida,27,Portugal,80,80,SL Benfica,12000000.0,15000.0,6'1,176.0,Europe
489,D. Didavi,28,Germany,80,80,VfB Stuttgart,15000000.0,44000.0,5'11,170.0,Europe
490,R. Rodríguez,25,Switzerland,80,83,Milan,15500000.0,81000.0,5'11,170.0,Europe
491,R. Pereyra,27,Argentina,80,80,Watford,15500000.0,65000.0,6'0,170.0,South America
492,Mario Gaspar,27,Spain,80,80,Villarreal CF,12000000.0,35000.0,6'0,163.0,Europe
493,Maicon,29,Brazil,80,80,Galatasaray SK,11500000.0,63000.0,6'3,196.0,South America
494,D. Blind,28,Netherlands,80,80,Ajax,12000000.0,22000.0,5'11,159.0,Europe
495,J. Zoet,27,Netherlands,80,83,PSV,12500000.0,16000.0,6'2,194.0,Europe
496,A. Ljajić,26,Serbia,80,81,Beşiktaş JK,17500000.0,52000.0,6'0,163.0,Europe
497,Canales,27,Spain,80,80,Real Betis,15500000.0,30000.0,5'11,163.0,Europe
498,Iago Falqué,28,Spain,80,80,Torino,15000000.0,59000.0,5'9,152.0,Europe
499,L. de Jong,27,Netherlands,80,80,PSV,16000000.0,23000.0,6'2,190.0,Europe
500,Guaita,31,Spain,80,80,Crystal Palace,9000000.0,48000.0,6'3,176.0,Europe
501,Muniain,25,Spain,80,83,Athletic Club de Bilbao,18500000.0,31000.0,5'7,139.0,Europe
502,Susaeta,30,Spain,80,80,Athletic Club de Bilbao,14000000.0,33000.0,5'10,150.0,Europe
503,S. Rudy,28,Germany,80,80,FC Schalke 04,12000000.0,37000.0,5'10,163.0,Europe
504,K. Trapp,27,Germany,80,81,Eintracht Frankfurt,11500000.0,61000.0,6'2,190.0,Europe
505,V. Wanyama,27,Kenya,80,82,Tottenham Hotspur,14500000.0,86000.0,6'0,192.0,Africa
506,N. Nkoulou,28,Cameroon,80,80,Torino,12000000.0,50000.0,6'0,170.0,Africa
507,R. Boudebouz,28,Algeria,80,80,Real Betis,15000000.0,31000.0,5'10,163.0,Africa
508,Camacho,28,Spain,80,81,VfL Wolfsburg,13500000.0,51000.0,6'0,165.0,Europe
509,S. Ulreich,29,Germany,80,80,FC Bayern München,10000000.0,61000.0,6'4,185.0,Europe
510,M. Musacchio,27,Argentina,80,80,Milan,12500000.0,85000.0,5'11,161.0,South America
511,C. Stuani,31,Uruguay,80,80,Girona FC,13500000.0,41000.0,6'1,159.0,South America
512,P. Gulácsi,28,Hungary,80,80,RB Leipzig,10500000.0,45000.0,6'4,190.0,Europe
513,Bruno,34,Spain,80,80,Villarreal CF,7000000.0,39000.0,6'0,161.0,Europe
514,F. Delph,28,United Kingdom,80,80,Manchester City,11500000.0,120000.0,5'9,172.0,Europe
515,A. Lallana,30,United Kingdom,80,80,Liverpool,13500000.0,110000.0,5'10,161.0,Europe
516,Marcelo,31,Brazil,80,80,Olympique Lyonnais,10000000.0,64000.0,6'3,187.0,South America
517,S. Coleman,29,Ireland,80,80,Everton,11000000.0,97000.0,5'10,148.0,Europe
518,Alexandre Pato,28,Brazil,80,80,Tianjin Quanjian FC,15500000.0,35000.0,5'11,179.0,South America
519,Antunes,31,Portugal,80,80,Getafe CF,9500000.0,27000.0,5'9,152.0,Europe
520,Nacho Monreal,32,Spain,80,80,Arsenal,8000000.0,99000.0,5'10,159.0,Europe
521,Beñat,31,Spain,80,80,Athletic Club de Bilbao,12500000.0,30000.0,5'10,168.0,Europe
522,A. Fernández,32,Argentina,80,80,Beijing Renhe FC,11000000.0,20000.0,5'10,161.0,South America
523,K. Gameiro,31,France,80,80,Valencia CF,13500000.0,45000.0,5'8,154.0,Europe
524,I. Piatti,33,Argentina,80,80,Montreal Impact,9000000.0,13000.0,5'11,168.0,South America
525,V. Birsa,31,Slovenia,80,80,Chievo Verona,13000000.0,23000.0,6'0,179.0,Europe
526,S. Romero,31,Argentina,80,80,Manchester United,9000000.0,91000.0,6'4,192.0,South America
527,D. Criscito,31,Italy,80,80,Genoa,10000000.0,21000.0,6'0,165.0,Europe
528,D. Valeri,32,Argentina,80,80,Portland Timbers,11500000.0,12000.0,5'10,165.0,South America
529,D. Sturridge,28,United Kingdom,80,80,Liverpool,15500000.0,125000.0,5'11,168.0,Europe
530,Raúl García,31,Spain,80,80,Athletic Club de Bilbao,13000000.0,30000.0,6'0,185.0,Europe
531,S. Defour,30,Belgium,80,80,Burnley,13500000.0,65000.0,5'9,159.0,Europe
532,M. Škrtel,33,Slovakia,80,80,Fenerbahçe SK,6000000.0,68000.0,6'3,179.0,Europe
533,S. Radu,31,Romania,80,80,Lazio,10000000.0,51000.0,6'0,174.0,Europe
534,G. Cahill,32,United Kingdom,80,80,Chelsea,8500000.0,99000.0,6'4,194.0,Europe
535,L. Diarra,33,France,80,80,Paris Saint-Germain,6000000.0,75000.0,5'9,163.0,Europe
536,L. Perrin,32,France,80,80,AS Saint-Étienne,8500000.0,37000.0,5'11,176.0,Europe
537,Dante,34,Brazil,80,80,OGC Nice,4500000.0,37000.0,6'2,187.0,South America
538,A. Granqvist,33,Sweden,80,80,,0.0,0.0,6'4,185.0,Europe
539,A. Gignac,32,France,80,80,Tigres U.A.N.L.,12000000.0,70000.0,6'2,201.0,Europe
